Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Timespan,Correction1,Correction2
2022-03-24 16:26:29,6/20/2022 2:11:17 PM,2022-06-20 14:16:01,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.67,0.0,0.00 QSU,18.466 °C,Yes,300.00 QSU,289.34,300.0,0.00 QSU,19.639 °C,Yes,87 days 21:49:32,-0.67,10.660000000000025
2022-06-20 14:16:01,9/21/2022 3:23:54 PM,2022-09-21 15:28:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,1.05,0.0,0.00 QSU,18.511 °C,Yes,300.00 QSU,281.13,300.0,0.00 QSU,19.579 °C,Yes,93 days 01:12:42,-1.05,18.870000000000005
2022-09-21 15:28:43,11/2/2022 1:17:53 PM,2022-11-02 13:22:32,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-1.82,0.0,0.00 QSU,18.782 °C,Yes,300.00 QSU,334.72,300.0,0.00 QSU,19.612 °C,Yes,41 days 21:53:49,1.82,-34.72000000000003
2022-11-02 13:22:32,4/13/2023 3:58:55 PM,2023-04-13 16:01:29,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.56,0.0,0.00 QSU,21.130 °C,Yes,300.00 QSU,217.59,300.0,0.00 QSU,19.956 °C,Yes,162 days 02:38:57,-0.56,82.41
2023-04-13 16:01:29,5/23/2023 11:02:44 AM,2023-05-23 11:06:24,CompletedWithWarnings,Bad,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.63,0.0,0.00 QSU,18.959 °C,Yes,300.00 QSU,239.33,299.99,0.00 QSU,19.750 °C,Yes,39 days 19:04:55,0.63,60.66
2023-05-23 11:06:24,7/12/2023 12:06:27 PM,2023-07-12 12:15:04,CompletedWithWarnings,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.12,-0.01,0.00 QSU,20.340 °C,Yes,300.00 QSU,511.15,300.0,0.00 QSU,20.839 °C,Yes,50 days 01:08:40,-0.13,-211.14999999999998
2023-07-12 12:15:04,8/18/2023 11:07:21 AM,2023-08-18 11:09:42,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.33,0.0,0.00 QSU,19.446 °C,Yes,,,,,,,36 days 22:54:38,0.33,
2023-08-18 11:09:42,8/18/2023 11:09:53 AM,2023-08-18 11:12:20,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.33,0.0,0.00 QSU,19.459 °C,Yes,300.00 QSU,290.69,300.0,0.00 QSU,20.233 °C,Yes,0 days 00:02:38,-0.33,9.310000000000002
2023-08-18 11:12:20,9/27/2023 12:49:11 PM,2023-09-27 12:55:13,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.47,0.0,0.00 QSU,18.871 °C,Yes,300.00 QSU,303.56,300.0,0.00 QSU,20.221 °C,Yes,40 days 01:42:53,0.47,-3.5600000000000023
2023-09-27 12:55:13,10/25/2023 11:06:14 AM,2023-10-25 11:08:12,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.1,0.0,0.00 QSU,19.142 °C,Yes,300.00 QSU,309.08,300.0,0.00 QSU,19.864 °C,Yes,27 days 22:12:59,-0.1,-9.079999999999984
2023-10-25 11:08:12,4/19/2024 12:42:45 PM,2024-04-19 12:46:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.11,0.0,0.00 QSU,19.897 °C,Yes,300.00 QSU,291.12,300.0,0.00 QSU,19.592 °C,Yes,177 days 01:37:59,-0.11,8.879999999999995
2023-10-25 11:08:12,4/19/2024 12:42:45 PM,2024-04-19 12:46:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.11,0.0,0.00 QSU,19.897 °C,Yes,300.00 QSU,291.12,300.0,0.00 QSU,19.592 °C,Yes,177 days 01:37:59,-0.11,8.879999999999995
2024-04-19 12:46:11,5/24/2024 1:32:34 PM,2024-05-24 13:35:49,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.17,0.0,0.00 QSU,21.035 °C,Yes,300.00 QSU,297.34,300.0,0.00 QSU,21.147 °C,Yes,35 days 00:49:38,0.17,2.660000000000025
2024-05-24 13:35:49,6/27/2024 11:13:50 AM,2024-06-27 11:22:59,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.02,0.0,0.00 QSU,21.095 °C,Yes,300.00 QSU,325.22,300.0,0.00 QSU,20.318 °C,Yes,33 days 21:47:10,-0.02,-25.220000000000027
2024-06-27 11:22:59,8/21/2024 11:48:38 AM,2024-08-21 11:55:51,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.29,0.0,0.00 QSU,20.195 °C,Yes,300.00 QSU,286.14,300.0,0.00 QSU,19.688 °C,Yes,55 days 00:32:52,-0.29,13.860000000000014
2024-08-21 11:55:51,9/27/2024 11:13:38 AM,2024-09-27 11:15:36,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.3,0.0,0.00 QSU,19.465 °C,Yes,300.00 QSU,292.95,300.0,0.00 QSU,19.397 °C,Yes,36 days 23:19:45,-0.3,7.050000000000011
