Time;01-Farge;04-Turbiditet;06-E.coli;07-Intestinale enterokokker;08-Kimtall 22°C;09-Koliforme bakterier 37°C;21-Arsen;24-Bly;32-Kadmium;36-Kopper filtrert;37-Krom;41-Nikkel;Sink (Zn)
2022-11-21T12:00:00;#N/A;#N/A;0;#N/A;88;9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-11-29T12:00:00;#N/A;#N/A;0;#N/A;67;14;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-12-05T12:00:00;12;0.42;0;0;#N/A;19;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-12-12T12:00:00;10;0.67;1;0;#N/A;11;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-12-19T12:00:00;10;0.79;0;0;#N/A;9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2023-01-02T12:00:00;#N/A;#N/A;0;#N/A;190;16;0.035;1.3;0.006;0.0036;0.12;0.4;9.1
2023-01-09T12:00:00;#N/A;#N/A;0;#N/A;93;18;0.026;0.28;0.001;0.0016;0.061;0.18;4.8
2023-01-16T12:00:00;12;1.3;0;0;68;10;0.039;1.8;0.011;0.004;0.17;0.44;8.7
2023-01-23T12:00:00;#N/A;#N/A;1;#N/A;59;14;0.03;0.59;0.001;0.0027;0.11;0.44;12
2023-01-30T12:00:00;#N/A;#N/A;1;#N/A;170;26;0.033;0.4;0.004;0.0023;0.088;0.26;6.6
2023-02-07T12:00:00;#N/A;#N/A;2;#N/A;140;26;0.031;1.5;0.004;0.003;0.092;0.26;7.5
2023-02-13T12:00:00;11;0.15;0;0;67;9;0.027;0.18;0.001;0.0015;0.052;0.066;5.2
2023-02-20T12:00:00;#N/A;#N/A;0;#N/A;100;5;0.028;0.38;0.004;0.0021;0.01;0.14;6.5
2023-02-27T12:00:00;#N/A;#N/A;1;#N/A;59;9;0.034;0.84;0.006;0.0026;0.01;0.01;5.9
2023-03-06T12:00:00;#N/A;#N/A;0;#N/A;61;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2023-03-13T12:00:00;10;0.37;0;0;32;12;0.029;0.53;0.004;0.002;0.12;0.2;5.1
2023-03-20T12:00:00;#N/A;#N/A;0;#N/A;51;2;0.027;0.22;0.004;0.0017;0.11;0.01;#N/A
2023-03-27T12:00:00;#N/A;#N/A;0;#N/A;47;7;0.027;0.17;0.001;0.0016;0.094;0.14;6.3
2023-04-03T12:00:00;#N/A;#N/A;0;#N/A;#N/A;2;0.027;0.19;0.001;0.0016;0.1;0.01;5.6
2023-04-11T12:00:00;11;0.19;0;0;55;2;0.031;0.27;0.001;0.0021;0.068;0.23;8.1
2023-04-17T12:00:00;#N/A;#N/A;0;#N/A;22;1;0.024;0.15;0.001;0.0016;0.086;0.01;4.2
2023-04-24T12:00:00;#N/A;#N/A;0;#N/A;25;1;0.029;0.29;0.004;0.0024;0.1;0.29;9
2023-05-02T12:00:00;#N/A;#N/A;0;#N/A;38;1;0.029;0.22;0.004;0.0018;0.094;0.2;6.9
2023-05-08T12:00:00;11;0.26;0;0;#N/A;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2023-05-15T12:00:00;#N/A;#N/A;0;#N/A;#N/A;2;0.026;0.17;0.001;0.0017;0.075;0.01;2.4
2023-05-22T12:00:00;#N/A;#N/A;1;#N/A;24;3;0.026;0.31;0.004;0.0012;0.088;0.01;#N/A
2023-05-30T12:00:00;#N/A;#N/A;0;#N/A;46;5;0.005;0.18;0.001;0.0016;0.089;0.082;4.8
2023-06-05T12:00:00;10;0.05;0;0;29;4;0.026;0.16;0.001;0.0012;0.01;0.2;3.4
2023-06-12T12:00:00;#N/A;#N/A;0;#N/A;17;3;0.005;0.16;0.001;0.00076;0.089;0.2;4.1
2023-06-19T12:00:00;#N/A;#N/A;0;#N/A;35;4;0.022;0.26;0.001;0.00098;0.077;0.24;5.1
2023-06-26T12:00:00;#N/A;#N/A;1;#N/A;19;1;0.025;0.18;0.001;0.0013;0.095;0.01;4.9
2023-07-03T12:00:00;10;0.05;0;0;98;3;0.027;0.15;0.001;0.0015;0.01;0.26;5
2023-07-10T12:00:00;#N/A;#N/A;0;#N/A;27;2;0.026;0.2;0.004;0.0017;0.084;0.23;5.1
2023-07-17T12:00:00;#N/A;#N/A;0;#N/A;15;0;0.024;0.11;0.001;0.0011;0.08;0.29;4.1
2023-07-24T12:00:00;#N/A;#N/A;0;#N/A;39;0;0.025;0.18;0.001;0.0017;0.077;0.41;8.8
2023-07-31T12:00:00;10;0.12;0;0;70;1;0.031;0.34;0.004;0.0036;0.01;0.53;15
2023-08-07T12:00:00;#N/A;#N/A;0;#N/A;36;0;0.031;0.6;0.001;0.003;0.054;0.35;12
2023-08-14T12:00:00;#N/A;#N/A;1;#N/A;27;1;0.03;0.14;0.001;0.0014;0.01;0.33;4.7
2023-08-21T12:00:00;#N/A;#N/A;0;#N/A;83;5;0.021;0.042;0.001;0.0013;0.01;0.01;2.4
2023-08-28T12:00:00;9;0.2;1;0;53;1;0.025;0.16;0.004;0.00086;0.01;0.25;5.9
2023-09-04T12:00:00;#N/A;#N/A;0;#N/A;51;0;0.03;0.13;0.004;0.0013;0.056;0.28;5.1
2023-09-11T12:00:00;#N/A;#N/A;0;#N/A;66;0;0.021;0.14;0.001;0.0012;0.01;0.18;#N/A
2023-09-18T12:00:00;#N/A;#N/A;0;#N/A;68;1;0.031;0.19;0.005;0.0011;0.1;0.01;7.8
2023-09-25T12:00:00;10;0.12;0;0;35;0;0.027;0.14;0.001;0.0011;0.085;0.01;7.1
2023-10-02T12:00:00;#N/A;#N/A;0;#N/A;19;0;0.022;0.13;0.001;0.0014;0.08;0.01;5.8
2023-10-09T12:00:00;#N/A;#N/A;0;#N/A;81;3;0.023;0.18;0.001;0.0015;0.055;0.26;7.1
2023-10-16T12:00:00;#N/A;#N/A;0;#N/A;71;6;0.026;0.005;0.001;0.0013;0.05;0.27;7
2023-10-23T12:00:00;11;0.05;3;0;150;12;0.024;0.036;0.001;0.00043;0.08;0.25;9.8
2023-10-30T12:00:00;#N/A;#N/A;1;#N/A;93;25;0.02;0.091;0.001;0.0011;0.068;0.26;1.2
2023-11-06T12:00:00;#N/A;#N/A;0;#N/A;80;5;0.025;0.12;0.001;0.0013;0.083;0.15;5.1
2023-11-13T12:00:00;#N/A;#N/A;0;#N/A;60;9;0.029;0.17;0.004;0.0014;0.077;0.28;#N/A
2023-11-20T12:00:00;11;0.13;0;0;76;8;0.024;0.12;0.001;0.0011;0.079;0.01;4.4
2023-11-27T12:00:00;#N/A;#N/A;0;#N/A;70;12;0.03;0.11;0.001;0.0013;0.12;0.31;5.5
2023-12-04T12:00:00;#N/A;#N/A;0;#N/A;93;2;0.025;0.11;0.001;0.0013;0.066;0.01;5.1
