Time;thredds_air_pressure_at_sea_level;thredds_air_temperature_2m;thredds_integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time;thredds_integral_of_surface_downwelling_longwave_flux_in_air_wrt_time;thredds_precipitation_amount;thredds_relative_humidity_2m;thredds_wind_direction_10m;thredds_wind_speed_10m
2020-01-01T00:00:00;1014.611484375;6.445703125000023;1.4685228342001563e-14;331.8286111111111;0.07895240187644958;88.44037652015686;229.68264770507812;10.012989044189453
2020-01-01T01:00:00;1014.3753125;6.215814208984398;1.470101818057401e-14;329.28;0.11159980297088623;89.5756721496582;225.80740356445312;9.511000633239746
2020-01-01T02:00:00;1014.16484375;6.361901855468773;1.470101818057401e-14;328.51944444444445;0.06362474709749222;85.78701615333557;226.69784545898438;9.14998722076416
2020-01-01T03:00:00;1013.79359375;6.308892822265648;1.4685228342001563e-14;329.4122222222222;0.07047820091247559;86.20663285255432;225.41189575195312;9.049924850463867
2020-01-01T04:00:00;1013.958359375;7.069482421875023;1.4693123261287788e-14;332.5108333333333;0.0008687179069966078;84.03069376945496;221.95994567871094;8.181218147277832
2020-01-01T05:00:00;1013.489140625;6.894250488281273;1.4685170517885698e-14;331.9272222222222;0.00016613194020465016;84.40149426460266;220.9183349609375;7.841724395751953
2020-01-01T06:00:00;1012.95953125;6.773797607421898;-7.34576597080958e-14;330.9605555555556;7.919809286249802e-05;84.42433476448059;220.93382263183594;8.035358428955078
2020-01-01T07:00:00;1012.54875;6.695214843750023;0.0;330.64416666666665;0.0003223964886274189;84.9369764328003;221.09300231933594;7.999228477478027
2020-01-01T08:00:00;1011.8953125;6.664300537109398;0.0;330.42027777777776;0.00014552428910974413;84.45634245872498;216.61196899414062;7.22101354598999
2020-01-01T09:00:00;1011.304140625;6.654595947265648;0.0;327.44166666666666;0.00020718837913591415;83.23720097541809;216.14112854003906;6.555093765258789
2020-01-01T10:00:00;1010.845;6.383874511718773;4.711111111111111;303.56138888888887;0.0;80.2372694015503;205.05364990234375;6.340023994445801
2020-01-01T11:00:00;1010.3115625;6.582910156250023;8.426666666666666;322.63;6.37178891338408e-05;78.89605760574341;195.33056640625;6.150797367095947
2020-01-01T12:00:00;1009.001875;6.836297607421898;2.5244444444444443;329.75;7.646146696060896e-05;79.10816073417664;206.13011169433594;7.920619964599609
2020-01-01T13:00:00;1009.5040625;6.943017578125023;3.466666666666667;328.87916666666666;0.0010631685145199299;77.30456590652466;217.4912109375;8.1003999710083
2020-01-01T14:00:00;1009.2340625;6.775140380859398;1.2444444444444445;329.22083333333336;0.00011452467879280448;81.6152036190033;213.94297790527344;8.171956062316895
