Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Timespan,Correction1,Correction2,Before Value,After Value,Difference
2021-10-26 15:06:47,3/24/2022 4:10:11 PM,2022-03-24 16:18:07,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.11,0.0,0.00 FNU,18.650 °C,Yes,12.40 FNU,12.66,12.4,0.00 FNU,20.517 °C,Yes,149 days 01:11:20,-0.11,-0.2599999999999998,,,
2022-03-24 16:18:07,4/22/2022 11:27:36 AM,2022-04-22 11:41:55,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.41,0.0,0.00 FNU,18.919 °C,Yes,12.40 FNU,71.62,12.4,0.00 FNU,20.184 °C,Yes,28 days 19:23:48,-0.41,-59.220000000000006,,,
2022-04-22 11:41:55,6/20/2022 1:56:36 PM,2022-06-20 14:01:45,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.09,0.0,0.00 FNU,19.006 °C,Yes,12.40 FNU,2.25,12.4,0.00 FNU,20.290 °C,Yes,59 days 02:19:50,0.09,10.15,,,
2022-06-20 14:01:45,9/21/2022 2:33:51 PM,2022-09-21 14:37:09,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.2,0.0,0.00 FNU,20.791 °C,Yes,12.40 FNU,11.28,12.4,0.00 FNU,20.530 °C,Yes,93 days 00:35:24,0.2,1.120000000000001,0.95,1.64,0.69
2022-09-21 14:37:09,11/2/2022 1:04:32 PM,2022-11-02 13:08:33,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.17,0.0,0.00 FNU,19.567 °C,Yes,12.40 FNU,12.48,12.4,0.00 FNU,20.105 °C,Yes,41 days 22:31:24,-0.17,-0.08,,,
2022-11-02 13:08:33,4/13/2023 4:07:19 PM,2023-04-13 16:12:22,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.13,0.0,0.00 FNU,19.591 °C,Yes,12.40 FNU,12.06,12.4,0.00 FNU,20.167 °C,Yes,162 days 03:03:49,0.13,0.3399999999999998,,,
2023-04-13 16:12:22,5/23/2023 11:11:27 AM,2023-05-23 11:17:59,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.02,0.0,0.00 FNU,18.594 °C,Yes,12.40 FNU,11.89,12.4,0.00 FNU,19.980 °C,Yes,39 days 19:05:37,-0.02,0.5099999999999998,,,
2023-05-23 11:17:59,7/12/2023 11:45:04 AM,2023-07-12 11:54:58,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.0,0.0,0.00 FNU,20.977 °C,Yes,12.40 FNU,12.26,12.4,0.00 FNU,20.946 °C,Yes,50 days 00:36:59,0.0,0.1400000000000005,,,
2023-07-12 11:54:58,8/18/2023 10:55:10 AM,2023-08-18 11:00:00,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.08,0.0,0.00 FNU,19.687 °C,Yes,12.40 FNU,12.18,12.4,0.00 FNU,20.282 °C,Yes,36 days 23:05:02,0.08,0.2200000000000006,,,
2023-08-18 11:00:00,9/27/2023 12:33:47 PM,2023-09-27 12:40:52,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.06,0.0,0.00 FNU,19.223 °C,Yes,12.40 FNU,12.41,12.4,0.00 FNU,20.404 °C,Yes,40 days 01:40:52,-0.06,-0.0099999999999997,,,
