Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,DO Cap Serial Number,DO Cap Replacement Date,DO Gain,DO mg/L,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Barometer,Timespan,Correction1,Before Value,After Value,Difference
2021-10-26 14:49:26,3/24/2022 3:56:03 PM,2022-03-24 15:56:35,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.07,9.28 mg/L,100.0 % Sat,98.0,101.1,0.0 % Sat,19.524 °C,Yes,768.0 mmHg,149 days 01:07:09,3.0999999999999943,,,
2022-03-24 15:56:35,4/22/2022 11:15:06 AM,2022-04-22 11:15:39,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,9.59 mg/L,100.0 % Sat,102.2,101.6,0.0 % Sat,18.171 °C,Yes,772.0 mmHg,28 days 19:19:04,-0.6000000000000085,,,
2022-04-22 11:15:39,6/20/2022 1:36:56 PM,2022-06-20 13:37:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.05,9.21 mg/L,100.0 % Sat,100.9,100.1,0.0 % Sat,19.310 °C,Yes,759.0 mmHg,59 days 02:21:46,-0.8000000000000114,,,
2022-06-20 13:37:25,9/21/2022 3:15:50 PM,2022-09-21 15:16:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.05,9.75 mg/L,100.0 % Sat,101.2,100.8,0.0 % Sat,17.006 °C,Yes,766.0 mmHg,93 days 01:38:46,-0.4000000000000057,99.44,98.67,-0.769999999999996
2022-09-21 15:16:11,11/2/2022 12:52:37 PM,2022-11-02 12:54:01,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,9.20 mg/L,100.0 % Sat,99.5,99.0,0.0 % Sat,18.930 °C,Yes,752.0 mmHg,41 days 21:37:50,-0.5,,,
2022-11-02 12:54:01,4/13/2023 4:54:18 PM,2023-04-13 16:54:44,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,8.06 mg/L,100.0 % Sat,97.6,99.0,0.0 % Sat,25.811 °C,Yes,752.0 mmHg,162 days 04:00:43,1.4000000000000057,,,
2023-04-13 16:54:44,5/23/2023 10:27:22 AM,2023-05-23 10:40:01,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,9.00 mg/L,100.0 % Sat,102.7,100.9,0.0 % Sat,21.026 °C,Yes,767.0 mmHg,39 days 17:45:17,-1.7999999999999972,,,
2023-05-23 10:40:01,7/12/2023 11:25:11 AM,2023-07-12 11:37:05,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,9.11 mg/L,100.0 % Sat,98.5,98.9,0.0 % Sat,19.311 °C,Yes,751.0 mmHg,50 days 00:57:04,0.4000000000000057,,,
2023-07-12 11:37:05,8/18/2023 10:42:04 AM,2023-08-18 10:42:58,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.75 mg/L,100.0 % Sat,102.6,101.6,0.0 % Sat,17.312 °C,Yes,772.0 mmHg,36 days 23:05:53,-1.0,,,
2023-08-18 10:42:58,9/27/2023 12:28:03 PM,2023-09-27 12:28:46,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.25 mg/L,100.0 % Sat,100.4,100.2,0.0 % Sat,19.201 °C,Yes,761.0 mmHg,40 days 01:45:48,-0.2000000000000028,,,
2023-09-27 12:28:46,10/25/2023 10:38:50 AM,2023-10-25 10:39:20,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.30 mg/L,100.0 % Sat,99.3,99.7,0.0 % Sat,18.729 °C,Yes,758.0 mmHg,27 days 22:10:34,0.4000000000000057,,,
2023-10-25 10:39:20,4/19/2024 12:04:52 PM,2024-04-19 12:08:15,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,9.52 mg/L,100.0 % Sat,96.8,99.5,0.0 % Sat,17.434 °C,Yes,756.0 mmHg,177 days 01:28:55,2.700000000000003,,,
2023-10-25 10:39:20,4/19/2024 12:04:52 PM,2024-04-19 12:08:15,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,9.52 mg/L,100.0 % Sat,96.8,99.5,0.0 % Sat,17.434 °C,Yes,756.0 mmHg,177 days 01:28:55,2.700000000000003,,,
2024-04-19 12:08:15,5/24/2024 12:11:34 PM,2024-05-24 12:23:06,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.46 mg/L,100.0 % Sat,103.6,100.8,0.0 % Sat,18.420 °C,Yes,766.0 mmHg,35 days 00:14:51,-2.799999999999997,,,
2024-05-24 12:23:06,6/27/2024 10:58:30 AM,2024-06-27 10:59:16,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,8.95 mg/L,100.0 % Sat,98.6,99.7,0.0 % Sat,20.654 °C,Yes,758.0 mmHg,33 days 22:36:10,1.1000000000000083,,,
2024-06-27 10:59:16,8/21/2024 11:32:44 AM,2024-08-21 11:33:03,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.07 mg/L,100.0 % Sat,100.2,99.1,0.0 % Sat,19.625 °C,Yes,753.0 mmHg,55 days 00:33:47,-1.1000000000000083,,,
2024-08-21 11:33:03,9/27/2024 10:50:26 AM,2024-09-27 10:50:34,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,9.49 mg/L,100.0 % Sat,99.1,99.9,0.0 % Sat,17.733 °C,Yes,760.0 mmHg,36 days 23:17:31,0.8000000000000114,,,
2024-09-27 10:50:34,9/27/2024 11:34:28 AM,2024-09-27 11:34:44,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.03,9.29 mg/L,100.0 % Sat,99.3,98.6,0.0 % Sat,18.189 °C,Yes,749.0 mmHg,0 days 00:44:10,-0.7000000000000028,,,
